TypeName,ScreenResolution,Cpu,Ram,Memory,Gpu,Price
1,8,35,8.0,12,47,26053.92
1,15,94,8.0,21,57,97449.12
1,15,59,8.0,21,59,39373.92
4,18,94,8.0,12,82,69210.72
1,15,94,8.0,21,71,52161.12
5,15,104,16.0,21,93,153705.3408
1,15,38,6.0,12,14,26586.72
3,15,80,16.0,31,40,78215.04
1,4,44,4.0,14,54,27119.52
4,15,94,16.0,30,97,113060.16
1,8,58,6.0,12,26,34578.72
1,4,58,8.0,10,40,29250.72
4,15,94,8.0,22,71,67399.2
1,4,29,4.0,12,13,19180.2672
2,20,98,16.0,21,54,105228.0
1,18,77,8.0,21,64,55571.04
1,15,58,8.0,22,40,43636.32
1,15,35,4.0,12,47,24988.32
1,18,58,8.0,21,54,53226.72
3,31,72,16.0,36,59,133146.72
4,18,94,16.0,30,97,111834.72
1,15,31,8.0,21,12,24988.32
2,5,14,2.0,4,3,14652.0
1,15,59,8.0,22,37,44968.32
2,31,72,16.0,36,59,130482.72
1,4,23,4.0,5,10,24503.472
1,15,58,8.0,21,54,52214.4
1,4,25,4.0,13,8,25840.8
1,15,80,8.0,21,54,68837.76
1,8,58,4.0,12,22,31381.92
1,15,80,8.0,21,54,58288.32
1,10,72,8.0,12,59,48058.56
1,4,45,8.0,21,24,35111.52
1,4,14,4.0,4,3,15557.76
1,4,58,6.0,12,54,29250.72
3,15,80,8.0,21,40,55938.672
3,15,80,8.0,21,54,71128.8
1,39,94,32.0,36,57,140605.92
4,15,94,8.0,30,71,63882.72
1,18,58,8.0,21,54,50243.04
1,15,80,8.0,30,54,71075.52
1,15,35,4.0,12,47,23922.72
4,15,94,8.0,21,57,53226.72
1,15,75,8.0,21,54,67559.04
1,15,58,8.0,21,54,60952.32
1,4,14,4.0,12,3,14651.4672
1,15,59,8.0,21,40,60885.72
1,4,9,4.0,9,6,14646.672
1,15,53,12.0,10,37,47898.72
1,18,44,8.0,12,41,38148.48
2,31,72,16.0,31,59,111834.72
3,15,72,8.0,21,59,84129.12
4,18,94,16.0,27,71,60153.12
1,4,9,2.0,4,1,14865.12
3,15,86,16.0,28,59,85672.1088
2,5,14,4.0,4,3,19980.0
3,15,59,8.0,12,37,35324.64
1,15,80,8.0,21,54,69477.12
4,15,94,8.0,22,82,75071.52
5,15,94,8.0,21,93,92615.0256
1,18,77,16.0,31,64,74751.84
1,15,72,8.0,16,37,51729.552
1,4,14,4.0,12,3,17155.6272
4,15,67,8.0,12,57,53226.72
1,5,58,8.0,10,54,29696.6736
1,15,75,8.0,21,54,76030.56
1,4,35,4.0,9,47,23389.92
1,15,58,8.0,21,54,50349.6
1,8,58,6.0,22,23,38308.32
1,15,58,8.0,12,54,34045.92
1,4,35,8.0,21,17,26586.72
1,4,25,8.0,10,8,20725.92
1,15,59,8.0,22,37,57808.8
4,18,67,8.0,22,57,43103.52
1,15,80,8.0,21,36,47898.72
3,18,80,8.0,21,54,93240.0
2,20,80,12.0,29,72,58554.72
1,4,32,4.0,14,12,22697.28
4,18,91,16.0,30,79,117162.72
1,8,31,4.0,14,12,26053.92
2,20,72,8.0,21,59,46300.8528
1,15,32,4.0,21,12,26053.3872
0,9,27,4.0,14,3,29463.84
1,4,13,4.0,9,1,16463.52
1,4,14,4.0,4,3,15238.08
1,15,94,8.0,12,57,45074.88
4,18,94,8.0,22,57,63456.48
1,15,35,4.0,14,47,21498.48
4,18,94,8.0,22,82,88178.4
1,18,58,8.0,21,40,58554.72
3,20,80,16.0,31,54,93181.392
3,37,80,8.0,31,54,121584.96
1,18,44,4.0,14,54,29250.72
5,15,81,8.0,9,73,72940.32
5,18,108,8.0,21,93,113752.8
2,33,80,16.0,31,54,133679.52
4,15,94,8.0,12,57,55357.92
4,15,94,16.0,30,71,84768.48
1,9,59,12.0,12,27,36975.7872
4,15,94,8.0,21,71,71874.72
1,15,80,8.0,21,36,41498.1936
3,15,32,4.0,21,20,26586.72
1,18,72,8.0,21,56,65510.9568
1,18,58,8.0,21,54,49976.64
5,39,94,8.0,21,93,144495.36
3,37,80,16.0,36,54,139860.0
1,4,14,4.0,12,3,16303.68
4,15,94,16.0,30,57,81465.12
1,18,59,8.0,30,56,60978.96
1,15,94,8.0,21,57,46833.12
4,15,94,16.0,30,97,119826.72
3,15,80,8.0,31,54,99793.44
3,15,77,16.0,31,47,93080.16
3,15,98,8.0,31,6,89510.4
1,15,35,4.0,9,47,21791.52
1,4,14,2.0,4,3,16221.096
5,15,94,8.0,31,93,102564.0
3,30,94,8.0,31,72,103523.04
1,15,35,4.0,12,20,24988.32
2,16,77,8.0,21,47,42038.4528
2,16,58,8.0,21,54,49443.84
1,15,58,4.0,21,19,31909.392
1,4,35,4.0,14,47,36709.92
3,15,77,8.0,21,47,79920.0
1,4,58,8.0,12,54,28768.536
3,18,72,8.0,21,56,64755.4464
2,31,94,16.0,31,57,101178.72
1,2,27,6.0,6,3,23922.72
1,15,104,8.0,21,68,76030.56
1,15,44,8.0,12,40,31808.16
4,37,115,16.0,30,97,149130.72
4,18,94,8.0,22,71,61751.52
1,15,72,8.0,27,37,60867.072
3,15,98,8.0,21,54,58554.72
4,15,94,12.0,30,97,106506.72
2,16,14,4.0,3,3,15930.72
0,4,9,4.0,5,1,14332.32
1,18,80,8.0,21,54,53812.8
1,18,42,4.0,14,54,31914.72
5,38,98,16.0,31,40,130269.6
1,15,104,16.0,31,104,130482.72
4,15,92,8.0,30,79,90309.6
1,4,9,4.0,9,1,18488.16
3,25,95,16.0,31,75,117162.72
3,35,80,24.0,31,54,126912.96
1,15,58,4.0,21,54,29783.52
1,8,26,8.0,12,9,27652.32
1,15,59,4.0,21,37,39906.72
3,18,58,8.0,21,54,76137.12
1,15,29,4.0,14,13,18594.72
4,18,94,8.0,22,57,58554.72
1,15,79,8.0,21,48,62817.12
1,4,58,4.0,9,54,23539.104
5,15,110,8.0,32,86,106187.04
4,15,67,8.0,21,57,54757.9872
3,23,107,16.0,31,80,137941.92
1,4,58,8.0,14,54,31381.92
5,18,108,16.0,21,86,105228.0
5,18,104,8.0,31,54,81731.52
1,15,58,8.0,21,54,71661.6
1,15,72,8.0,22,37,52161.12
2,5,25,4.0,9,8,25521.12
1,18,103,8.0,12,82,109010.88
3,23,61,4.0,14,75,52693.92
3,23,107,8.0,21,80,95850.72
1,8,35,8.0,21,47,34093.872
1,15,35,4.0,12,40,28984.32
0,4,9,4.0,14,1,23176.8
1,15,58,8.0,12,54,39906.72
1,18,80,8.0,31,38,42570.72
1,15,104,8.0,21,104,111355.2
1,4,29,4.0,9,3,16197.12
1,4,35,4.0,9,23,24988.32
1,15,59,8.0,10,37,40439.52
4,18,94,12.0,12,82,90522.72
3,29,100,12.0,21,47,98994.24
2,31,72,8.0,31,59,106506.72
1,15,58,8.0,9,60,61485.12
3,25,83,8.0,14,75,67932.0
3,20,59,8.0,21,59,98133.768
1,38,90,12.0,22,66,69210.72
1,4,56,8.0,14,47,39427.2
5,15,94,8.0,21,93,128298.24
1,15,58,8.0,18,54,72673.92
1,18,58,8.0,21,54,89084.16
1,18,72,8.0,31,40,67239.36
1,4,44,4.0,12,54,31254.048
1,18,59,4.0,14,59,38681.28
1,15,4,4.0,6,6,13261.392
1,4,34,4.0,14,47,30103.2
1,18,59,8.0,21,59,55890.72
5,18,108,16.0,31,86,124568.64
1,15,94,16.0,31,57,101178.72
3,18,80,16.0,31,54,95797.44
3,15,80,16.0,31,54,103896.0
1,18,58,8.0,21,40,53918.8272
3,20,80,32.0,31,54,149130.72
4,15,94,8.0,22,57,71928.0
1,4,48,8.0,12,24,30849.12
4,16,90,24.0,30,67,67612.32
3,9,65,8.0,18,47,58554.72
1,15,72,8.0,21,59,47893.392
1,15,98,8.0,36,54,93186.72
1,18,44,8.0,21,54,50562.72
1,18,58,8.0,21,54,48538.08
0,4,14,4.0,6,3,18115.2
1,4,58,8.0,21,20,32979.7872
2,16,59,8.0,21,59,85194.72
1,4,14,4.0,9,3,15930.72
0,4,9,4.0,0,1,14119.2
1,15,58,8.0,21,54,50562.72
1,15,80,8.0,30,54,65214.72
1,18,59,4.0,12,42,32660.64
3,18,80,8.0,31,54,70489.44
4,18,94,8.0,30,82,61218.72
3,16,58,8.0,14,54,47898.72
1,15,80,4.0,9,40,34045.92
1,15,58,8.0,12,54,44542.08
1,15,72,16.0,27,37,64961.1072
1,18,72,16.0,21,42,74589.336
0,4,14,2.0,4,3,13053.6
1,5,59,4.0,12,59,27783.9216
4,15,94,24.0,31,101,158135.04
1,15,58,8.0,21,48,47365.92
4,15,94,16.0,30,77,80133.12
4,18,94,8.0,30,82,74538.72
3,18,80,8.0,21,54,74538.72
1,15,75,8.0,21,54,68184.0144
1,4,35,4.0,14,47,36709.92
1,18,59,8.0,22,37,47365.92
